ID,Published,ChannelID,ChannelName,CategoryID,DefaultAudioLang,DefaultLang,Views,Comments,Likes,Dislikes,SearchIndex,URL,Title,Length,Length (min),PublishedAgo
TL9D6ZFtZHM,2020-03-21T01:16:43.000Z,UCyJNp6DNzm56XrPppI8r67Q,Sweet Red Poppy,26,en-US,en,1578362,523,13944,524,51,https://youtube.com/watch?v=TL9D6ZFtZHM,How to Sew a Surgical Face Mask for Hospitals | Sweet Red Poppy,3:07,3.116666667,1 month ago
BnhePGv0gmQ,2020-04-03T17:01:53.000Z,UC9duydx1VXTV0tP7q39S0Lw,JOANN Fabric and Craft Stores,26,en,,1506311,561,NaN,NaN,53,https://youtube.com/watch?v=BnhePGv0gmQ,Tips & Tricks for Making Non-Surgical Protective Fabric Face Masks,4:43,4.716666667,3 weeks ago
6hpzLQTy-SA,2020-03-22T17:56:46.000Z,UCAF_pB4d_S-gQS8WuxLjn1w,Mimi G Style,24,es-US,,1478415,2552,35111,1181,54,https://youtube.com/watch?v=6hpzLQTy-SA,DIY FABRIC FACE MASK: PRINTABLE PATTERN IN DESCRIPTION BOX WITH MEASUREMENTS,11:41,11.68333333,1 month ago
mqjlY0XjIZk,2020-03-24T17:56:49.000Z,UCIi_BVJctA_IwxpZv63rpBw,Quilt Addicts Anonymous,26,,,1448844,1046,14337,1034,55,https://youtube.com/watch?v=mqjlY0XjIZk,How to Make a Face Mask WITHOUT Elastic ... How to Make a Face Mask with Ties,30:30:00,30.5,1 month ago
5we_5TYpXBY,2020-02-04T16:57:35.000Z,UCuA-pRAUp-uk_TA4sE64HzA,Yellow Heart,10,,,1417162,461,11873,1097,56,https://youtube.com/watch?v=5we_5TYpXBY,5 EASY STEPS TO MAKE DIY FACE MASK by Yellow Heart 💛,11:28,11.46666667,2 months ago
u9MnDsUyYAA,2020-03-15T15:19:20.000Z,UCfOJ_V_0NE13e4M2OxrwqkQ,Maison ZiZou,26,,,1394187,507,10402,941,57,https://youtube.com/watch?v=u9MnDsUyYAA,How to make disposable face mask from paper towel in just 5 minutes | Maison Zizou,4:27,4.45,1 month ago
8Y74imX0BeI,2020-03-09T18:35:07.000Z,UCIvFHrqyK3QDY-MNC3ihAag,Handmade By Mei,22,,,1381863,561,NaN,NaN,58,https://youtube.com/watch?v=8Y74imX0BeI,"How to Crochet a Quick and Easy Face Mask, Face Warmer - V34",9:34,9.566666667,1 month ago
L6eoufysYiw,2020-03-22T10:40:12.000Z,UCzopMkOmXgxYl2HeYBefXOg,Silai Seekho A to Z,22,,,1347747,156,14390,1346,59,https://youtube.com/watch?v=L6eoufysYiw,How to make face Mask Easy method // फेस मास्क बनाना सीखें बड़ी ही आसानी से,8:28,8.466666667,1 month ago
GmR2P4-b2Uc,2020-03-29T02:09:06.000Z,UCl5xJ1MmCky89xegbJDdwcQ,Treasurie,26,en-US,,1327151,632,12352,639,60,https://youtube.com/watch?v=GmR2P4-b2Uc,"DIY Mask, Face Mask - 2 Styles - Fabric Face Mask Pattern",8:59,8.983333333,4 weeks ago
nRdpEqwuF_0,2020-03-22T05:02:05.000Z,UCyJNp6DNzm56XrPppI8r67Q,Sweet Red Poppy,26,en-US,en,1243237,554,10146,283,61,https://youtube.com/watch?v=nRdpEqwuF_0,How to Sew a Bias Tape Surgical Face Mask with Flexible Nose | Sweet Red Poppy,3:17,3.283333333,1 month ago
dnBqwowZi5w,2020-04-03T19:39:37.000Z,UCMZXojqqs2dhSzNqsF_EoOg,Vidah,22,,,1219482,350,10248,701,62,https://youtube.com/watch?v=dnBqwowZi5w,Bandana Face Mask- with hair ties- No Sewing DIY,1:52,1.866666667,3 weeks ago
4kwFaRFHKhY,2020-03-21T20:43:02.000Z,UCWnhR7raxVFDHmDXqCIzuAw,Missouri Star Quilt Company,27,en,,1204519,1398,20094,467,63,https://youtube.com/watch?v=4kwFaRFHKhY,How to make an easy face mask that's washable and reusable with spare fabric,10:08,10.13333333,1 month ago
ZCITvWle-Bc,2020-03-27T13:57:18.000Z,UC9duydx1VXTV0tP7q39S0Lw,JOANN Fabric and Craft Stores,26,en,,1186726,354,NaN,NaN,64,https://youtube.com/watch?v=ZCITvWle-Bc,Shaped Denim Face Mask,2:51,2.85,4 weeks ago
yPyhtXabsLQ,2020-03-19T13:36:22.000Z,UC1m_wJF-qJ_VnPQKNahOmjQ,Tonni art and craft,26,en,,1158335,127,9124,1183,66,https://youtube.com/watch?v=yPyhtXabsLQ,How To Make Mask At Home / How to make Face mask easily at home,3:04,3.066666667,1 month ago
GkcduBa9dLg,2020-04-04T18:17:33.000Z,UCJA8OyDxRY-wm0ya2gtHOsw,Do It On A Dime,26,en,,1154742,1422,40088,1423,65,https://youtube.com/watch?v=GkcduBa9dLg,DIY *NO SEW* FACE MASKS! (free and easy!),3:14,3.233333333,3 weeks ago
KQZPhj_erhg,2020-04-02T02:13:01.000Z,UCKfXe-6iDYYXoZbS7jndXHQ,Sarah QueenMomMe,22,,,1140940,978,15553,1321,67,https://youtube.com/watch?v=KQZPhj_erhg,No-Sew T-shirt Face Mask DIY,12:33,12.55,3 weeks ago
5cAmdlgYI_E,2020-03-29T20:40:45.000Z,UCTDYmv4txP6FajWJbzO5PGw,NATALIA TIM,22,en,,1126243,509,11883,918,68,https://youtube.com/watch?v=5cAmdlgYI_E,"Face Mask, NO Sewing Machine❌From T-shirt| The Easiest DIY😍",3:35,3.583333333,3 weeks ago
nE0EuDHMfZ4,2020-03-13T08:12:11.000Z,UCRMt2_XI_w_uUOYC76uPAzQ,Playful Cousins' World,24,,,1088110,NaN,8818,908,69,https://youtube.com/watch?v=nE0EuDHMfZ4,No Sew DIY Face Mask Made of Handkerchief and Rubber Bands,1:51,1.85,1 month ago
JR5yb4sFDTo,2020-04-04T15:00:07.000Z,UCWfwA2Rcw6GRFESo8o622Bw,Anjurisa,26,en,en,1058591,457,20875,491,72,https://youtube.com/watch?v=JR5yb4sFDTo,PRINTABLE Pattern For Face Mask FREE! 😍 Try this Reversible Face Mask DIY!,5:14,5.233333333,3 weeks ago
935MOLLyw00,2020-03-10T13:41:22.000Z,UCL8ECJcc0lYOsE57AwEjm0A,Sunita's Creative World,26,en,hi,1051613,319,7478,912,70,https://youtube.com/watch?v=935MOLLyw00,How To Make Face Mask At Home By Tissue Paper || How To Make Own Face Mask |Tissue Paper Face Mask,2:55,2.916666667,1 month ago
ieI7HITRm3c,2020-03-21T23:19:23.000Z,UCpjSSzpVwY4QTQt8Ea421PA,DIY Nikol & Alexandra,26,,,1044679,387,8722,306,71,https://youtube.com/watch?v=ieI7HITRm3c,"Emergency face masks - 5 easy, quick, no sew ideas",4:27,4.45,1 month ago
KBR98YKAr7w,2020-03-29T17:51:06.000Z,UCVHqwhb-1Ck03mWuYU_8njQ,Craft Passion,26,en-US,,1009887,755,11537,402,73,https://youtube.com/watch?v=KBR98YKAr7w,Official Face Mask Sewing Video Tutorial - With Pocket For Filter Media | Craft Passion,21:42,21.7,4 weeks ago
WCx4lq1-Psg,2020-03-19T08:12:48.000Z,UC1m_wJF-qJ_VnPQKNahOmjQ,Tonni art and craft,26,en,,1006881,231,6349,827,74,https://youtube.com/watch?v=WCx4lq1-Psg,2 Easy Face Masks From Cloth Bag/ How to make Face mask easily at home/ How To Make Mask At Home,5:13,5.216666667,1 month ago
p4USPU1Trz4,2020-03-29T18:03:51.000Z,UC3d8MjmqeSBt8j9oRwSYcIw,Lorrie Nunemaker,1,,,995680,1370,NaN,NaN,75,https://youtube.com/watch?v=p4USPU1Trz4,How to Make a Facemask with Fabric Ties and Filter Pocket,12:07,12.11666667,4 weeks ago
2UejCpjfbn8,2020-03-27T21:32:51.000Z,UCExuijldD1-nBcN_I0sJYDA,Jan Howell,26,,,983864,666,14216,485,76,https://youtube.com/watch?v=2UejCpjfbn8,Simplified FACE MASK / No Elastic / Filter Pocket / Upcycled T-Shirt Ties,13:34,13.56666667,4 weeks ago
fySsaOojEVM,2020-03-20T02:53:38.000Z,UCXchirenk1vN2hI1187MIrQ,The Fabric Patch,26,en,,959748,1099,10330,593,77,https://youtube.com/watch?v=fySsaOojEVM,Make your own Face Mask!,33:06:00,33.1,1 month ago
DqlmDf6_hsY,2020-03-21T21:37:09.000Z,UCBfa0oRc7GJv_gYQIzHKsEw,Sew It Online,24,,,931107,1896,9948,491,78,https://youtube.com/watch?v=DqlmDf6_hsY,Tutorial: How to Sew a Face Mask for Hospitals | Coronavirus COV19,20:03,20.05,1 month ago
xdVO9emZhyQ,2020-03-24T06:47:58.000Z,UCyJNp6DNzm56XrPppI8r67Q,Sweet Red Poppy,26,en-US,en,930188,396,10001,423,79,https://youtube.com/watch?v=xdVO9emZhyQ,How to Sew a Close-Fitted Fabric Face Mask | Sweet Red Poppy,3:04,3.066666667,1 month ago
QcNL95YgxBM,2020-03-22T04:38:16.000Z,UCZartp4-w1YTrorq4FmjQ5A,Unique Crafty Corner.,22,,,920043,494,12713,408,80,https://youtube.com/watch?v=QcNL95YgxBM,10 minutes How to Make Fast & Easy Medical Face Mask from Fabric Washable Reusable + turban pattern.,6:41,6.683333333,1 month ago
9yP_fnr4oVY,2020-04-03T20:31:54.000Z,UCYoj_zaQayXa5ub4v7AcaBA,Survival Know How,22,en,,904572,886,16279,436,81,https://youtube.com/watch?v=9yP_fnr4oVY,3 DIY FACE MASKS ⎮ No Sewing Required!,4:24,4.4,3 weeks ago
1V3SLUHIJ5A,2020-04-06T22:04:03.000Z,UClLL17Hquf1_LDUpAaNJ8mg,Making It Easy with Liz,26,en-CA,en,904408,760,8779,663,83,https://youtube.com/watch?v=1V3SLUHIJ5A,DIY REUSABLE FACE MASK with FILTER POCKET-4 Style Options-1 Easy SEW Pattern-Won't Fog Your Glasses!,32:28:00,32.46666667,2 weeks ago
73fWF7NQ1kw,2020-03-12T10:05:01.000Z,UCxM8mX6w0KzN5c0ydxaB8rg,Osaka Crafts,26,zxx,,897964,265,7725,641,82,https://youtube.com/watch?v=73fWF7NQ1kw,DIY: Handmade Mask!!! How to Make Face Mask at Home using carry Bag/Cloth!!!,4:52,4.866666667,1 month ago
QGv6InnFFEo,2019-08-29T00:00:03.000Z,UC56_hOqEtBqHwnVNBzOWj-A,5-Minute Crafts VS,22,,,885376,197,8594,553,84,https://youtube.com/watch?v=QGv6InnFFEo,20 EASY DIY FACE MASKS THAT WORK,13:08,13.13333333,7 months ago
b6ADNMFRzIM,2020-03-26T11:15:02.000Z,UCW7KVwxcVL1ocCYBapD8Uaw,Ader Family Homeschoolers,26,en-US,,868859,290,6295,499,85,https://youtube.com/watch?v=b6ADNMFRzIM,1 Minute Easy DIY No Sew Face Mask Tutorial 😷 Bandana And 2 Ponytail Holders,2:17,2.283333333,1 month ago
